     Targets     | Originators | count | count | Conns |   Inbound    |  Outbound   |  TotalBytes  
-----------------+-------------+-------+-------+-------+--------------+-------------+--------------
 50.66.150.134   |           2 |     1 |    77 |   123 | 176598380499 | 11356516080 | 187954896579
 172.219.228.14  |           1 |     1 |     4 |     4 | 129072865547 | 11545784163 | 140618649710
 209.107.118.157 |           2 |     1 |    17 |    17 | 101985410899 |  7004331447 | 108989742346
 96.51.230.2     |           1 |     1 |    18 |    18 |  65953398307 | 39433747302 | 105387145609
 198.53.180.171  |           2 |     1 |     6 |     6 |   5771789598 | 91471226516 |  97243016114
 50.66.142.32    |           2 |     1 |     5 |     5 |  47580922895 | 47293410606 |  94874333501
 70.73.177.236   |           1 |     1 |     5 |     5 |  91002271247 |  2254774509 |  93257045756
 68.146.220.192  |           1 |     1 |   148 |   153 |  19193796720 | 67243941699 |  86437738419
 70.73.165.53    |           1 |     1 |    33 |    34 |  67427620736 | 11798039010 |  79225659746
 70.73.100.63    |           1 |     1 |     8 |    27 |  68547063535 |  4230814958 |  72777878493
 184.64.111.117  |           2 |     1 |     9 |    11 |  68457910943 |  3280664334 |  71738575277
 75.159.44.230   |           1 |     1 |    13 |    13 |   8109257199 | 61364669968 |  69473927167
 70.73.172.50    |           1 |     1 |    97 |   316 |  62215661284 |  5318329722 |  67533991006
 24.64.172.27    |           1 |     1 |    33 |    37 |   8524967005 | 58203848348 |  66728815353
 68.147.85.177   |           1 |     1 |    23 |    23 |  55460109124 |  5948263829 |  61408372953
 172.103.178.251 |           1 |     1 |     6 |     6 |  53076023906 |  1706860474 |  54782884380
 24.80.162.222   |           1 |     1 |    10 |    14 |  38912202963 | 15521610257 |  54433813220
 75.159.25.99    |           1 |     1 |    14 |    14 |  27079658257 | 23370022672 |  50449680929
 75.159.148.119  |           1 |     1 |     3 |     3 |  41482634459 |  6314315191 |  47796949650
 68.145.158.38   |           1 |     1 |   162 |   163 |  44004785599 |  2758757821 |  46763543420
 75.158.110.100  |           2 |     1 |    22 |    23 |  18058126820 | 27809476557 |  45867603377
 199.126.1.154   |           1 |     1 |     6 |     6 |  40229458448 |  5141934862 |  45371393310
 174.0.242.59    |           2 |     1 |    16 |    37 |   5366017503 | 38877610493 |  44243627996
 24.64.224.25    |           1 |     1 |    47 |   139 |  39961226959 |  3975969253 |  43937196212
 68.147.82.116   |           2 |     1 |    24 |    24 |  29488184900 | 13434605459 |  42922790359
 184.64.161.110  |           2 |     1 |    83 |   286 |  30286844873 | 11618404090 |  41905248963
 75.159.152.18   |           1 |     1 |     1 |     1 |   3460820425 | 38085780323 |  41546600748
 50.66.149.95    |           1 |     1 |     1 |     1 |  40030620495 |  1363232003 |  41393852498
 24.64.55.118    |           1 |     1 |    36 |    37 |  35664141325 |  5452592344 |  41116733669
 75.159.156.167  |           1 |     1 |    10 |    10 |  37239437120 |  3732255454 |  40971692574
 137.186.123.204 |           3 |     1 |    14 |    15 |   8193246123 | 32130946929 |  40324193052
 68.147.49.39    |           1 |     1 |    22 |    47 |   9088782366 | 30922284474 |  40011066840
 70.75.107.188   |           1 |     1 |    53 |   175 |  27985469585 | 11930526473 |  39915996058
 137.186.45.149  |           1 |     1 |    11 |    11 |  36593563141 |  3012267543 |  39605830684
 96.51.148.194   |           1 |     1 |    35 |    97 |  33613658327 |  4146306203 |  37759964530
 50.66.72.199    |           1 |     1 |    13 |    13 |  26524636872 | 11144140246 |  37668777118
 68.147.28.194   |           1 |     1 |    11 |    11 |  27286446318 |  9151304936 |  36437751254
 66.222.138.41   |           1 |     1 |    17 |    17 |  21402121810 | 15029197494 |  36431319304
 75.155.36.203   |           1 |     1 |    11 |    11 |  25331684306 | 10387949314 |  35719633620
 23.17.73.217    |           1 |     1 |    12 |    12 |  31990468810 |  3695666721 |  35686135531
 184.64.108.137  |           2 |     1 |   100 |   334 |  29736323419 |  4172217322 |  33908540741
 198.166.73.180  |           2 |     1 |    19 |    19 |  22819130509 | 10632458921 |  33451589430
