  Origins   | Flows 
------------+-------
  677684197 | 64649
  677684165 | 64454
  677684205 | 63211
  677738757 | 62999
  677684213 | 61777
  878719821 | 61703
  878719797 | 60799
  878815781 | 59096
  878719805 | 57762
  677729221 | 57321
  878806901 | 57046
  677728437 | 56780
  878719749 | 56672
  878812021 | 56499
  878812837 | 56379
  677738789 | 56242
  878719813 | 56006
  677738773 | 55962
  677729045 | 55609
  677728661 | 55568
  878811349 | 55373
  677728837 | 55371
  677728261 | 55253
  878719781 | 55069
  677684221 | 54942
  677728677 | 54906
  677712421 | 54731
  677728453 | 54691
  878719789 | 54509
  878719773 | 54399
  878818245 | 53956
  677684173 | 53662
  878817317 | 53548
  878719765 | 53533
  677728645 | 53438
  878809093 | 53217
  677712405 | 53013
  878817285 | 52938
  878819269 | 52922
  878809269 | 52602
  677728277 | 52363
  677684189 | 51411
  677684181 | 51260
  878719757 | 49596
  878719861 | 47563
  878813957 | 45972
  878719989 | 45693
  677684053 | 45045
  677683781 | 44627
  677684029 | 44482
  878719909 | 44284
  677710965 | 44145
  677712629 | 43772
  677712789 | 43555
  677712805 | 43227
  677712613 | 43157
  677710901 | 42996
  878719925 | 42947
  677740581 | 42803
  677710853 | 42198
  878719957 | 42122
  878719941 | 41822
  878720165 | 41763
  677710949 | 41744
  677710981 | 41698
  677684005 | 41610
  878720109 | 41518
  677710917 | 41469
  677710933 | 41214
  677740613 | 41211
  677740757 | 40889
  878720237 | 40823
  878719965 | 40807
  677683805 | 40659
  878719557 | 40360
  677683749 | 40306
  878719981 | 40047
  677683941 | 39791
  677740789 | 39703
  878719885 | 39674
  878719565 | 39341
  878720189 | 39280
  878720149 | 39212
  878719901 | 39208
  677683989 | 38977
  677684037 | 38977
  677683797 | 38955
  878847269 | 38937
  677683981 | 38932
  878719933 | 38761
  878719949 | 38617
  677683877 | 38578
  677683813 | 38538
  677684021 | 38405
  677710869 | 38279
  878720157 | 38246
  677683973 | 38221
  677740797 | 38121
  878719613 | 38081
  878719973 | 38063
  878720117 | 37946
  878859717 | 37928
  677683933 | 37897
  677740629 | 37894
  878719893 | 37815
  878719917 | 37814
  677710885 | 37552
  677740877 | 37253
  878720197 | 37239
  878719997 | 37130
  878720125 | 37038
  677684045 | 36922
  677683965 | 36907
  677683949 | 36870
  677683821 | 36780
  677683765 | 36659
  878719869 | 36598
  677683925 | 36514
  677642869 | 36490
  677740861 | 36381
  677740805 | 36372
  677740869 | 36325
  677740597 | 36298
  677740669 | 36247
  677740693 | 36040
  677740781 | 36004
  677683997 | 35820
  878848069 | 35816
  677642837 | 35764
  878720245 | 35652
  878720061 | 35589
  677683845 | 35268
  677683757 | 35262
  878720029 | 35087
  878720221 | 34988
  677683773 | 34933
  878720205 | 34906
  878720141 | 34817
  677683853 | 34730
  677656261 | 34503
  677683837 | 34490
  677740837 | 34367
  677642853 | 34228
  677683829 | 34177
  677683861 | 34158
  878720013 | 34157
  677683789 | 33928
  677740653 | 33842
  677740685 | 33840
  878720069 | 33817
  677740637 | 33783
  677683869 | 33630
  878720005 | 33611
  677740605 | 33359
  677656101 | 33339
  878720093 | 33317
  677656069 | 33316
  677740813 | 33251
  677740661 | 33222
  878719605 | 33136
  677683957 | 33131
  878857573 | 33072
  878720229 | 33020
  677656293 | 32914
  878719877 | 32826
  677656277 | 32666
  677656085 | 32615
  878720053 | 32602
  677740621 | 32518
  677684013 | 32283
  878720101 | 32263
  677740765 | 32051
  677740709 | 31713
  878720045 | 31518
  878720037 | 31473
  677740829 | 31424
  878720181 | 31365
  677740589 | 31349
  677740853 | 31246
  677740645 | 31195
  878720173 | 31051
  878720253 | 30722
  878720213 | 30627
  878720085 | 30480
  677740773 | 30146
  878720077 | 29763
  677740821 | 29364
  677740677 | 29236
  878720021 | 29155
  677656309 | 29013
  878720133 | 28309
  677740885 | 27728
  677740845 | 26051
  878848709 | 25975
  677740701 | 23409
 3633569392 | 16771
 2292146227 | 14564
  887367910 | 11755
 3108894723 | 11746
 1613988490 | 11220
  763437334 | 10012
 1755147716 |  8272
 3091234563 |  8146
 2960225272 |  7324
 3363603233 |  7176
 1259164390 |  7033
 3363603261 |  7007
 3363603240 |  6904
  887957266 |  6793
 3114027331 |  6660
 3114027329 |  6586
  878724357 |  6096
 1137928589 |  5793
   87971361 |  5672
  878710709 |  5568
  878729333 |  5441
  677494277 |  5397
 1583755679 |  5395
  878715061 |  5192
  878709173 |  5172
  677493765 |  5144
  878723205 |  5124
  878729189 |  5124
  878729221 |  5109
 1583756345 |  5087
  878729173 |  5083
 1315203738 |  5043
  677494005 |  5012
  878715829 |  5006
  677494293 |  4994
  878715221 |  4983
  878729285 |  4979
